,description_embedding,blurb_embedding,risk_embedding,subcategory_embedding,category_embedding,country_embedding,description_length,funding_goal,image_count,video_count,campaign_duration,previous_projects_count,previous_success_rate,previous_pledged,previous_funding_goal,prediction
count,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0,20387.0
mean,-0.12311845981437965,-0.0004529293162233197,-0.0005504762804186022,0.0021515960210838625,0.00033211308404603737,0.0018211310243234679,-0.002414599900833439,-0.6589692649143958,0.0010451092623901816,0.0010870234053043817,-0.005165276619441584,0.00017615351826866173,0.00015057183741096447,0.0003061437025588029,-0.0007749366311179818,0.6212885307797474
std,0.14763527434769733,0.008261279892864787,0.014756570074772659,0.0066367076664668985,0.0014563631736406236,0.0034226543300847276,0.015004007420545872,0.22483899057987716,0.001283102903809111,0.0012294266818680608,0.021728589217760358,0.0005603348606914491,0.0003830379465366194,0.0007133145157017159,0.0020345296608975166,0.4006943671465163
min,-0.9297336935997009,-0.21568143367767334,-0.7195138931274414,-0.013797760009765625,-0.0021430253982543945,-0.012213826179504395,-0.09159094095230103,-0.9765169024467468,0.0,0.0,-0.3295798897743225,0.0,0.0,0.0,-0.017817020416259766,0.0003904102777596563
25%,-0.14977088570594788,-0.003037750720977783,-0.002260923385620117,-0.0030506253242492676,-0.0009252429008483887,0.002680659294128418,0.0007214546203613281,-0.8229820430278778,0.0,0.0,-0.0029709339141845703,0.0,0.0,0.0,0.0,0.13776692003011703
50%,-0.06959831714630127,0.0014743208885192871,0.0022028088569641113,0.001264035701751709,0.0005766153335571289,0.003328979015350342,0.0021463632583618164,-0.7352317571640015,0.0006576776504516602,0.0,-0.0018443465232849121,0.0,0.0,0.0,0.0,0.8570069074630737
75%,-0.028515011072158813,0.004520118236541748,0.004880547523498535,0.009478628635406494,0.0014872550964355469,0.003328979015350342,0.0027988553047180176,-0.5257757306098938,0.001567542552947998,0.0020555853843688965,-0.0012499094009399414,0.0,0.0,0.0,0.0,0.9814102649688721
max,0.008984088897705078,0.010981380939483643,0.011079549789428711,0.011685490608215332,0.004155635833740234,0.005038917064666748,0.008927106857299805,-0.002061605453491211,0.00943899154663086,0.01033163070678711,-7.241964340209961e-05,0.007638692855834961,0.0011518001556396484,0.0026695728302001953,0.0,0.9999830722808838
